KPI Examples	VERWALTUNGSINDIKATOREN (KPI)	BESCHREIBUNG	FORMEL & KALKULATION	Wichtig	Links
💵 Verkaufskennzahlen	Kosten pro Lead (CPL)	Durchschnittliche Kosten für die Erzeugung einer einzigen Leitung.	Gesamt Lead Generation Kosten ÷ Gesamt Leads	Hoch	
💵 Verkaufskennzahlen	Lead Response Time	Durchschnittliche Zeit für den Verkauf, um auf eine Führung nach dem Erwerb zu reagieren.	Gesamte Antwortzeit ÷ Gesamte Leads	Mittel	
💵 Verkaufskennzahlen	Umrechnungskurs der Webseite	Prozentsatz der Besucher der Website, die in Leads umwandeln.	(Website Leads ÷ Gesamtbesucher) × 100	Mittel	
💵 Verkaufskennzahlen	Formular-Zulassungssatz	Prozentsatz der Besucher, die ein Lead-Capture-Formular ausfüllen.	(Formeinträge ÷ Gesamtbesucher) × 100	Mittel	Link
💵 Verkaufskennzahlen	E-Mail-Bewertung	Prozentsatz der Nutzer, die sich für E-Mail-Kommunikation anmelden.	(Ins ÷ Gesamtbesucher) × 100	Mittel	Link
💵 Verkaufskennzahlen	Umrechnungskurs für Lead Nurturing	Prozentsatz der geförderten Leads, die sich in Absatzmöglichkeiten umwandeln.	(Nurtured Leads Converted ÷ Total Nurtured Leads) × 100	Mittel	
💵 Verkaufskennzahlen	Chancen-zu-Lead Ratio	Prozentsatz der Leads, die qualifizierte Verkaufsmöglichkeiten werden.	Gesamtleitungen × 100	Mittel	
💵 Verkaufskennzahlen	Wachstumsrate der Pipeline	Prozentualer Anstieg des Gesamtwerts der Leads in der Vertriebspipeline.	(Zeitraum Pipeline-Wert - frühere Periode Pipeline-Wert) ÷ Vorheriger Zeitraum Pipeline-Wert) × 100	Mittel	
💵 Verkaufskennzahlen	Kundenbeziehung Kennzahlen				
💵 Verkaufskennzahlen	Kundenretention Rate	Prozentsatz der Kunden, die über einen bestimmten Zeitraum zurückgehalten werden.	((Endkunden - Neue Kunden) ÷ Start Kunden) × 100	Hoch	Link
💵 Verkaufskennzahlen	Kundenbetreuung	Prozentsatz der Kunden, die während eines bestimmten Zeitraums verloren gingen.	(Lost Customers ÷ Gesamtkunden) × 100	Hoch	Link
💵 Verkaufskennzahlen	Kundenzufriedenheits-Score (CSAT)	Messt Kundenzufriedenheit basierend auf Umfrage-Feedback.	(Positive Reaktionen) × 100	Hoch	Link
💵 Verkaufskennzahlen	Net Promoter Score (NPS)	Messt Kundenbindung und Wahrscheinlichkeit, die Marke zu empfehlen.	% Promoter - % Detractors	Hoch	Link
💵 Verkaufskennzahlen	Umsatz im Upsell	Gesamteinnahmen aus dem Verkauf bestehender Kunden.	Summe der Upsell-Transaktionen Umsatz	Mittel	Link
💵 Verkaufskennzahlen	Über uns	Gesamteinnahmen aus verkaufsübergreifenden Produkten oder Dienstleistungen.	Summe der Cross-Sell-Transaktionen Umsatz	Mittel	Link
💵 Verkaufskennzahlen	Wiederholen Kaufpreis	Prozentsatz der Kunden, die mehr als einen Kauf tätigen.	(Repeat Kunden ÷ Gesamtkunden) × 100	Hoch	Link
💵 Verkaufskennzahlen	Kundenlebenswert (CLV)	Gesamteinnahmen, die von einem Kunden über sein Leben erwartet werden.	Durchschnittlicher Kaufwert × Kauf Frequenz × Kundenlebensdauer	Hoch	Link
💵 Verkaufskennzahlen	Kundenbetreuung (CES)	Messt die Leichtigkeit, mit der Kunden mit Ihrer Marke interagieren.	Umfrage Metrik basierend auf Kundenfeedback	Mittel	Link
💵 Verkaufskennzahlen	Kundenvertretung Rate	Prozentsatz der Kunden, die die Marke aktiv fördern.	(Anmelder ÷ Gesamtkunden) × 100	Mittel	Link
Digital Marketing Kennzahlen	Kosten pro Mille (CPM)	Kosten für 1.000 Eindrücke.	(Gesamt Ad Spend ÷ Total Impressions) × 1.000	Hoch	Link
Digital Marketing Kennzahlen	Click-Through Rate (CTR)	Prozentsatz der Eindrücke, die zu Klicks führte.	(Klicks ÷ Impressionen) × 100	Hoch	Link
Digital Marketing Kennzahlen	Kosten pro Klick (CPC)	Durchschnittliche Kosten eines einzigen Klicks.	Total Ad Spend ÷ Total Clicks	Hoch	Link
Digital Marketing Kennzahlen	Kosten pro Aktion (CPA)	Kosten für eine bestimmte Aktion (Kauf, Anmeldung, etc.).	Insgesamt Ad-Spend ÷ Gesamtumrechnungen	Hoch	Link
Digital Marketing Kennzahlen	Zurück	Gesamtzahl der einzigartigen Benutzer, die Ihre Anzeige sah.	Bildmaterial von Anzeigenplattformen	Mittel	
Digital Marketing Kennzahlen	Häufigkeit	Durchschnittliche Anzahl der Male, die ein Benutzer Ihre Anzeige sieht.	Total Impressionen ÷ Unique Reach	Mittel	
Digital Marketing Kennzahlen	View-Through Rate (VTR)	Prozentsatz der Benutzer, die Ihre Videoanzeige zum Abschluss angesehen haben.	(Videoauszüge Φ Gesamteindrucke) × 100	Mittel	
Digital Marketing Kennzahlen	Return on Ad Spend (ROAS)	Einnahmen pro ausgegebenen Dollar für Anzeigen.	Einnahmen ÷ Ad Spend	Hoch	Link
Digital Marketing Kennzahlen	Impressionen teilen	Prozentsatz der förderfähigen Eindrücke, die Sie gefangen genommen haben.	(Prints ÷ Eligible Impressions) × 100	Mittel	
Digital Marketing Kennzahlen	Video anzeigen Rate	Prozentsatz der Video-Anzeige-Impressionen, die zu einer Ansicht führen.	(Videoansichten ÷ Impressionen) × 100	Mittel	
Digital Marketing Kennzahlen	Ad Engagement Rate	Prozentsatz der Interaktionen (Gefällt mir, Aktien, Klicks) mit einer Anzeige.	(Engagements ÷ Gesamteindrucke) × 100	Mittel	
Digital Marketing Kennzahlen	Kosten pro Lead (CPL)	Kosten für die Erzeugung einer einzigen Leitung.	Insgesamt Ad Spend ÷ Gesamt Leads	Hoch	
Digital Marketing Kennzahlen	Umrechnungskurs	Prozentsatz der Anzeigenklicks, die zu einer Konvertierung führen.	(Konversionen ÷ Klicks) × 100	Hoch	Link
Digital Marketing Kennzahlen	Bounce Rate	Prozentsatz der Benutzer, die auf die Anzeige geklickt haben, aber ohne zu interagieren.	(Single Page Sessions ÷ Total Sessions) × 100	Mittel	
Digital Marketing Kennzahlen	Ad Placement Performance	Bewertet die Effektivität verschiedener Anzeigenplatzierungen (desktop vs. mobile).	Bildmaterial von Anzeigenplattformen	Mittel	
Digital Marketing Kennzahlen	Thumb Stop Rate	Prozentsatz der Benutzer, die das Scrollen stoppen, wenn Sie Ihre Anzeige treffen.	(Stops ÷ Gesamteindrucke) × 100	Hoch	Link
Digital Marketing Kennzahlen	KPIs Marketing Email				
Digital Marketing Kennzahlen	Open Rate	Prozentsatz der E-Mail-Empfänger, die Ihre E-Mail geöffnet haben.	(Emails Geöffnet ÷ E-Mails Liefert) × 100	Hoch	Link
Digital Marketing Kennzahlen	Click-Through Rate (CTR)	Prozentsatz der E-Mail-Empfänger, die auf Links in der E-Mail geklickt haben.	(Gesamt Clicks ÷ E-Mails Liefert) × 100	Hoch	
Digital Marketing Kennzahlen	Click-to-Open Rate (CTOR)	Prozentsatz der Empfänger, die nach dem Öffnen der E-Mail auf Links geklickt haben.	(Klicks ÷ Öffnet) × 100	Mittel	Link
Digital Marketing Kennzahlen	Umrechnungskurs	Prozentsatz der E-Mail-Empfänger, die die gewünschte Aktion abgeschlossen haben.	(Conversions ÷ E-Mails Liefert) × 100	Hoch	
Digital Marketing Kennzahlen	Bounce Rate	Prozentsatz der nicht an die Empfänger übermittelten E-Mails.	(Bounced Emails ÷ Emails Sent) × 100	Mittel	Link
Digital Marketing Kennzahlen	Abonnieren Rate	Prozentsatz der Empfänger, die von Ihrer Liste abgemeldet wurden.	Prozentsatz der Empfänger, die von Ihrer Liste abgemeldet wurden.	Hoch	Link
Digital Marketing Kennzahlen	Spam Beschwerderate	Prozentsatz der Empfänger, die Ihre E-Mail als Spam markierten.	(Spam Beschwerden ÷ E-Mails Liefert) × 100	Mittel	
Digital Marketing Kennzahlen	Tabelle Veränderungsrate	Rate, zu der Ihre E-Mail-Liste wächst.	((Neue Abonnenten - Abonnenten) ÷ Total Abonnenten) × 100	Hoch	
Digital Marketing Kennzahlen	Vorwärts-/Anteilquote	Prozentsatz der Empfänger, die Ihre E-Mail weitergeleitet oder geteilt.	(Formen/Forwards ÷ E-Mails Lieferbar) × 100	Mittel	
Digital Marketing Kennzahlen	Email Revenue zum Abonnenten	Durchschnittliche Einnahmen pro E-Mail-Teilnehmer.	Gesamte Email Einnahmen ÷ Gesamte Abonnenten	Hoch	
Digital Marketing Kennzahlen	Cart Abandonment Umrechnung von Dateien	Prozentsatz der Empfänger, die die Einkäufe nach Erhalt der Warenkorb-Abgabe-E-Mails abgeschlossen haben.	(Purchases from Cart Emails ÷ Cart Emails Lieferbar) × 100	Hoch	
Digital Marketing Kennzahlen	Wiedereinziehung Preis	Prozentsatz der inaktiven Nutzer, die von einer Kampagne wieder eingenommen werden.	(Re-Engaged Users ÷ Total Inactive Users) × 100	Mittel	
Digital Marketing Kennzahlen	Kennzahlen				
Digital Marketing Kennzahlen	Zurück	Anzahl der einzigartigen Benutzer, die Ihren Beitrag sahen.	Zur Verfügung gestellt von Plattform-Analyse-Tools	Hoch	
Digital Marketing Kennzahlen	Impressionen	Gesamtzahl Ihrer Inhalte wurde angezeigt.	Zur Verfügung gestellt von Plattform-Analyse-Tools	Hoch	
Digital Marketing Kennzahlen	Engagement Rate von Reach	Prozentsatz der Nutzer, die mit Ihrem Beitrag im Vergleich zu Reichweite interagierten.	(Gesamt Engagements ÷ Total Reach) × 100	Hoch	
Digital Marketing Kennzahlen	Engagement Rate von Impressionen	Prozentsatz der Interaktionen aus Gesamteindrücken.	(Gesamte Engagements ÷ Gesamte Impressionen) × 100	Mittel	Link
Digital Marketing Kennzahlen	Wachstumsrate	Steigerungsrate der Follower über einen bestimmten Zeitraum.	(New Followers ÷ Total Follower) × 100	Hoch	
Digital Marketing Kennzahlen	Nach Häufigkeit	Anzahl der über einen bestimmten Zeitraum veröffentlichten Beiträge.	Gesamtposten ÷ Zeitperiode	Mittel	
Digital Marketing Kennzahlen	Aktienkurs	Prozentsatz der Personen, die Ihre Inhalte geteilt haben.	(Gesamtanteile ÷ Gesamteindrucke) × 100	Mittel	
Digital Marketing Kennzahlen	Videoansichten	Anzahl der Zeiten wurde ein Video beobachtet.	Bildmaterial von Plattformanalysen	Mittel	
Digital Marketing Kennzahlen	Durchschnittliche Videoansicht Dauer	Durchschnittliche Zeit Benutzer verbrachten Ihre Videos zu sehen.	Total Watch Time ÷ Total Video Ansichten	Mittel	
Digital Marketing Kennzahlen	Click-Through Rate (CTR)	Prozentsatz der Benutzer, die auf den Link Ihres Beitrags geklickt haben.	(Gesamt Clicks ÷ Total Impressions) × 100	Mittel	
Digital Marketing Kennzahlen	Kommentare per Post	Durchschnittliche Anzahl der Kommentare pro Post.	Posts insgesamt	Mittel	
Digital Marketing Kennzahlen	Speicher/Buchzeichen	Anzahl der Nutzer, die Ihre Inhalte gespeichert oder mit Lesezeichen versehen haben.	Bildmaterial von Plattformanalysen	Mittel	
Digital Marketing Kennzahlen	Anmerkungen	Anzahl der Zeiten Ihre Marke ist auf Social Media verschlagwortet oder erwähnt.	Zur Verfügung gestellt von Social Hörtools	Mittel	
Digital Marketing Kennzahlen	Profil Klicks	Anzahl der Nutzer, die Ihr Profil von Ihrem Inhalt besucht haben.	Bildmaterial von Plattformanalysen	Mittel	
Digital Marketing Kennzahlen	Online-Verleih	Aufschlüsselung von Engagement-Typen (Liegen, Kommentare, Aktien).	Prozentsätze jeder Eingriffsart	Niedrig	
Digital Marketing Kennzahlen	SEO (Search Engine Optimization) Kennzahlen				
Digital Marketing Kennzahlen	Verkehr	Gesamtzahl der Besucher, die von organischen Suchergebnissen auf Ihre Website kommen.	Bildmaterial von Tools wie Google Analytics	Hoch	
Digital Marketing Kennzahlen	Schlüsselwort-Rankings	Positionen von gezielten Keywords in Suchmaschinen-Ergebnisseiten (SERPs).	Mit Werkzeugen wie SEMrush oder Ahrefs verfolgt	Hoch	
Digital Marketing Kennzahlen	Click-Through Rate (CTR)	Prozentsatz der Eindrücke, die zu Klicks für organische Ergebnisse führte.	(Organic Clicks ÷ Organic Impressions) × 100	Hoch	
Digital Marketing Kennzahlen	Bounce Rate	Prozentsatz der Besucher, die nach der Besichtigung nur eine Seite verlassen.	(Single Page Sessions ÷ Total Sessions) × 100	Hoch	
Digital Marketing Kennzahlen	Bakklinks	Gesamtzahl der externen Links, die auf Ihre Website zeigen.	Mit Werkzeugen wie Ahrefs oder SEMrush verfolgt	Hoch	
Digital Marketing Kennzahlen	Domains weiterführen	Gesamtzahl der einzigartigen Domains, die auf Ihre Website verlinken.	Mit Werkzeugen wie Ahrefs verfolgt	Mittel	
Digital Marketing Kennzahlen	Umrechnungspreis für organische Stoffe	Prozentsatz der organischen Besucher, die eine gewünschte Aktion absolvieren (z.B. Kauf, Anmeldung).	(Organische Umrechnungen ÷ Organic Visitors) × 100	Hoch	
Digital Marketing Kennzahlen	Durchschnittliche Zeit auf Seite	Durchschnittliche Dauer Besucher verbringen auf einer einzigen Seite.	Gesamtzeit auf Seite ÷ Gesamtseitenansichten	Hoch	
Digital Marketing Kennzahlen	Seiten pro Sitzung	Durchschnittliche Anzahl der Seiten, die ein Benutzer pro Sitzung besucht.	Gesamtseitenansichten ÷ Gesamtsitzungen	Mittel	Link
Digital Marketing Kennzahlen	Site Load Time	Durchschnittliche Zeit es braucht, um Ihre Website zu laden.	Gemessen mit Tools wie Google PageSpeed Insights	Mittel	
Digital Marketing Kennzahlen	Individuelle Seiten	Gesamtzahl der von Suchmaschinen indexierten Webseiten.	Gemessen mit Google Search Console	Niedrig	
Digital Marketing Kennzahlen	Bio Klicks	Gesamtzahl der Klicks aus organischen Suchergebnissen.	Bildmaterial von Google Search Console	Hoch	
Digital Marketing Kennzahlen	Bio-Impressionen	Gesamtzahl der Zeiten Ihre Website erschien in organischen Suchergebnissen.	Bildmaterial von Google Search Console	Hoch	
Digital Marketing Kennzahlen	Top Landing Pages	Die meisten besuchten Seiten durch organische Suche.	Bildmaterial von Tools wie Google Analytics	Hoch	
🚚 Lieferkette Kennzahlen	Kosteneinsparungen	Gesamtersparnis durch Initiativen zur Senkung der Auftragskosten.	(Basiskosten - Tatsächliche Kosten) ÷ Baseline Kosten × 100	Hoch	
🚚 Lieferkette Kennzahlen	Bestellen Zykluszeit	Durchschnittliche Zeit, die es braucht, um einen Kaufauftrag zu erstellen, zu genehmigen und zu bearbeiten.	Gesamtzykluszeit ÷ Anzahl der Bestellungen	Mittel	Link
🚚 Lieferkette Kennzahlen	Lieferzeit für Lieferanten	Durchschnittliche Zeit von Lieferanten zur Erfüllung von Aufträgen.	Insgesamt Lieferant Lead Time ÷ Anzahl der Bestellungen	Hoch	Link
🚚 Lieferkette Kennzahlen	Lieferpreis des Lieferanten	Anteil der von Lieferanten gelieferten Bestellungen am oder vor dem vereinbarten Datum.	(Überstundenlieferungen ÷ Gesamtlieferungen) × 100	Hoch	Link
🚚 Lieferkette Kennzahlen	Kosten pro Bestellung	Durchschnittliche Kosten für die Abwicklung eines Kaufauftrags.	Gesamtvergabekosten ÷ Anzahl der Bestellungen	Mittel	
🚚 Lieferkette Kennzahlen	Hersteller Defect Rate	Prozentsatz der Waren von Lieferanten, die defekt sind.	(Defektive Goods ÷ Gesamtgut erhalten) × 100	Hoch	Link
🚚 Lieferkette Kennzahlen	Spend Under Management (SUM)	Prozentsatz der gesamten organisatorischen Ausgaben, die durch Beschaffung aktiv verwaltet werden.	(Verwaltete Ausgaben ÷ Gesamtausgaben) × 100	Mittel	Link
🚚 Lieferkette Kennzahlen	Hersteller Performance Score	Composite-Score basierend auf Lieferantenqualität, Lieferung und Reaktionsfähigkeit.	Gewichtete Bewertung von Lieferantenbewertungskriterien	Hoch	
🚚 Lieferkette Kennzahlen	Maverick Spende Rate	Prozentsatz der außerhalb der genehmigten Beschaffungsprozesse getätigten Einkäufe.	(Maverick Spend ÷ Total Spend) × 100	Mittel	Link
🚚 Lieferkette Kennzahlen	Beschaffung ROI	Kapitalrendite für die Beschaffungstätigkeiten.	(Versicherungskosteneinsparungen - Gesamtvergabekosten) ÷ Gesamtvergabekosten × 100	Mittel	Link
🚚 Lieferkette Kennzahlen	Inventarmanagement Kennzahlen				
🚚 Lieferkette Kennzahlen	Inventarwechsel	Maßnahmen, wie oft Inventar verkauft und in einem bestimmten Zeitraum ersetzt wird.	Kosten der verkauften Güter ÷ Durchschnittliche Bestandsaufnahme	Hoch	Link
🚚 Lieferkette Kennzahlen	Tage Inventory Outstanding (DIO)	Die durchschnittliche Anzahl der Tage wird vor dem Verkauf gehalten.	(Altersinventar ÷ Kosten der verkauften Waren) × 365	Hoch	Link
🚚 Lieferkette Kennzahlen	Inventargenauigkeitsrate	Prozentsatz der Bestandsaufnahmen, die dem tatsächlichen physischen Bestand entsprechen.	(Accurate Stock Records ÷ Total Stock Items) × 100	Hoch	Link
🚚 Lieferkette Kennzahlen	Aktienkurs	Prozentsatz der Lagerbestände, die bei Bedarf nicht auf Lager waren.	(Stockouts ÷ Total Inventory Items) × 100	Mittel	Link
🚚 Lieferkette Kennzahlen	Transportkosten der Lagerstätte	Gesamtkosten der Bestandsaufnahme, einschließlich Lagerung, Versicherung und Abschreibungen.	Gesamter Lagerkosten ÷ Durchschnittlicher Lagerwert × 100	Mittel	Link
🚚 Lieferkette Kennzahlen	Bestellen Sie die Füllrate	Prozentsatz der Kundenaufträge, die vollständig aus dem verfügbaren Bestand erfüllt sind.	(Aufträge vollständig ÷ Gesamtaufträge) × 100	Hoch	Link
🚚 Lieferkette Kennzahlen	Sicherheitsstufen	Mindestmenge an Lagerbestand zur Vermeidung von Lagerbeständen.	Berechnet basierend auf Nachfragevariabilität und Lieferzeit	Mittel	Link
🚚 Lieferkette Kennzahlen	Tote Lager Prozentsatz	Prozentsatz der Lagerbestände, die nicht über einen bestimmten Zeitraum verkauft oder verwendet wurden.	(Dead Stock ÷ Total Inventory) × 100	Mittel	Link
🚚 Lieferkette Kennzahlen	Zurückbestellung	Prozentsatz der aufgrund unzureichender Lagerbestände verzögerten Bestellungen.	(Backordered Orders \	Mittel	Link
🚚 Lieferkette Kennzahlen	Inventar Shrinkage	Prozentsatz des durch Diebstahl, Schaden oder Verwaltungsfehler verlorenen Inventars.	(Ergebnisverluste ÷ Gesamter Lagerbestand) × 100	Mittel	Link
🚚 Lieferkette Kennzahlen	Logistik und Transport Kennzahlen				
🚚 Lieferkette Kennzahlen	On-Time Lieferrate	Prozentsatz der Lieferungen an oder vor der geplanten Zeit.	(Überstundenlieferungen ÷ Gesamtlieferungen) × 100	Hoch	
🚚 Lieferkette Kennzahlen	Durchschnittliche Lieferzeit	Durchschnittliche Zeit für die Lieferung von Waren an Kunden oder Ziele.	Lieferfrist insgesamt ÷ Lieferungen insgesamt	Hoch	
🚚 Lieferkette Kennzahlen	Transportkosten pro Einheit	Durchschnittliche Kosten für den Transport einer Produkteinheit.	Transportkosten insgesamt ÷ Einheiten Transport	Hoch	
🚚 Lieferkette Kennzahlen	Frachtkosten prozentual	Prozentsatz der Einnahmen für Fracht und Transport.	(Freight Costs ÷ Gesamtumsatz) × 100	Mittel	
🚚 Lieferkette Kennzahlen	Ladekapazität Nutzungsrate	Prozentsatz der pro Sendung genutzten Transportkapazität.	(Aktuelle Belastung ÷ Gesamtlastkapazität) × 100	Mittel	Link
🚚 Lieferkette Kennzahlen	Versand Schadensersatz	Prozentsatz der während des Transports beschädigten Sendungen.	(Damaged Shipments ÷ Total Ships) × 100	Mittel	
🚚 Lieferkette Kennzahlen	Backend Lieferzeit	Durchschnittliche Zeit für die Lieferung von Backcard-Waren.	Backend Lieferzeit	Mittel	
🚚 Lieferkette Kennzahlen	Order Fulfillment Cycle Time	Durchschnittliche Zeit für Prozess, Schiff und Lieferung einer Bestellung.	Order Delivery Time - Order Placement Time	Hoch	Link
🚚 Lieferkette Kennzahlen	Liefergenauigkeit Rate	Prozentsatz der Lieferungen an den richtigen Ort beim ersten Versuch.	(Akkurate Lieferungen ÷ Gesamtlieferungen) × 100	Mittel	
🚚 Lieferkette Kennzahlen	Rückgabequote	Prozentsatz der zurückgegebenen Waren aufgrund von Lieferfehlern oder Mängeln.	(Returned Deliveries ÷ Gesamtlieferungen) × 100	Mittel	Link
🚚 Lieferkette Kennzahlen	Produktion und Effizienz Kennzahlen				
🚚 Lieferkette Kennzahlen	Produktionszykluszeit	Durchschnittliche Zeit für die Herstellung einer einzelnen Produkteinheit.	Gesamtproduktionszeit ÷ Gesamteinheiten Produziert	Hoch	Link
🚚 Lieferkette Kennzahlen	Kapazitätsauslastung Preis	Prozentsatz der verwendeten Produktionskapazitäten.	(Aktuelle Ausgabe › Maximale mögliche Ausgabe) × 100	Hoch	Link
🚚 Lieferkette Kennzahlen	Gesamtwirkung der Ausrüstung (OEE)	Maßnahmen, wie effektiv Produktionsanlagen genutzt werden.	Verfügbarkeit × Leistung × Qualität (ausgedrückt in Prozent)	Hoch	
🚚 Lieferkette Kennzahlen	Ausfallquote	Prozent der Produktionszeit, die durch Geräte- oder Prozessausfälle verloren geht.	(Downtime ÷ Scheduled Production Time) × 100	Hoch	Link
🚚 Lieferkette Kennzahlen	Rendite	Prozentsatz der Produkte, die Qualitätsstandards ohne Nacharbeit erfüllen.	(Good Units Produziert ÷ Gesamteinheiten Produziert) × 100	Hoch	Link
🚚 Lieferkette Kennzahlen	Schrottrate	Der Anteil der Rohstoffe wurde während der Produktion verschwendet.	(Scrapped Materials ÷ Total Materials Used) × 100	Mittel	
🚚 Lieferkette Kennzahlen	First Pass Yield (FPY)	Prozentsatz der Produkte, die die Qualitätskontrolle beim ersten Versuch durchlaufen.	(Units Passed First Attempt ÷ Total Units Produziert) × 100	Mittel	
🚚 Lieferkette Kennzahlen	Bestellen Sie Lead Time	Durchschnittliche Zeit vom Auftragsplatz bis zur Fertigstellung.	Gesamtauftrag Vorlaufzeit ÷ Anzahl der Bestellungen	Mittel	
🚚 Lieferkette Kennzahlen	Energieverbrauch pro Stück Produziert	Durchschnittlicher Energieverbrauch je hergestellte Produkteinheit.	Gesamtenergie verbraucht ÷ Gesamteinheiten produziert	Mittel	
🚚 Lieferkette Kennzahlen	Arbeitsproduktivität	Durchschnittliche Leistung pro Arbeitsstunde produziert.	Gesamtausgabe ÷ Gesamtarbeitsstunden	Mittel	Link
🚚 Lieferkette Kennzahlen	Kundenbefüllung Kennzahlen				
🚚 Lieferkette Kennzahlen	Perfekte Bestellrate	Prozentsatz der ohne Probleme gelieferten Bestellungen (z.B. späte Lieferung, Beschädigung, fehlerhafte Gegenstände).	(Perfect Orders ÷ Total Orders) × 100	Hoch	
🚚 Lieferkette Kennzahlen	Order Fulfillment Time	Durchschnittliche Zeit zur Bearbeitung und Lieferung von Kundenaufträgen.	Fulfillment insgesamt Zeit ÷ Anzahl der Bestellungen	Hoch	Link
🚚 Lieferkette Kennzahlen	Bestellgenauigkeit Rate	Prozentsatz der Lieferungen mit korrekten Stückzahlen und Stückzahlen.	(Bestellungsbestellungen ÷ Gesamtbestellungen) × 100	Hoch	
🚚 Lieferkette Kennzahlen	Kundenzufriedenheits-Score (CSAT)	Messt die Kundenzufriedenheit mit dem Auftragserfüllungsprozess.	(Positive Reaktionen) × 100	Mittel	Link
🚚 Lieferkette Kennzahlen	On-Time Lieferrate	Prozentsatz der an oder vor dem voraussichtlichen Liefertermin gelieferten Bestellungen.	(Überstundenlieferungen ÷ Gesamtlieferungen) × 100	Hoch	
🚚 Lieferkette Kennzahlen	Zurückbestellung	Prozentsatz der aufgrund unzureichender Bestandsaufnahme verzögerten Bestellungen.	(Backordered Orders \	Mittel	
🚚 Lieferkette Kennzahlen	Zurück zur Übersicht	Prozentsatz der von den Kunden zurückgegebenen gelieferten Waren.	(Returned Orders) × 100	Mittel	
🚚 Lieferkette Kennzahlen	Nachfüllkosten für Bestellung	Durchschnittliche Kosten für die Bearbeitung und Lieferung einer Bestellung.	Fulfillment insgesamt Kosten ÷ Anzahl der Bestellungen	Mittel	Link
🚚 Lieferkette Kennzahlen	Lieferung Zufriedenheit Preis	Prozent der Kunden zufrieden mit der Liefererfahrung.	(Verkaufslieferungen ÷ Gesamtlieferungen) × 100	Mittel	
🚚 Lieferkette Kennzahlen	Zykluszeit bestellen	Gesamtzeit vom Kundenauftrag bis zur Lieferung.	Bestell- und Lieferfrist insgesamt ÷ Anzahl der Bestellungen	Hoch	Link
Projektleitung Kennzahlen	On-Time-Kompensationsrate	Prozentsatz der innerhalb des vorgesehenen Zeitrahmens abgeschlossenen Projekte oder Aufgaben.	(Projekte abgeschlossen auf Zeit ÷ Gesamtprojekte) × 100	Hoch	
Projektleitung Kennzahlen	Milestone Performance Rate	Prozentualer Anteil der an oder vor der Frist erreichten Projektziele.	(Achieved Meilensteine ÷ Gesamte Meilensteine) × 100	Hoch	
Projektleitung Kennzahlen	Anzahl der überfälligen Aufgaben	Gesamtzahl der Aufgaben, die nicht durch ihre zugewiesenen Fristen abgeschlossen sind.	Summe der überfälligen Aufgaben	Hoch	
Projektleitung Kennzahlen	Anwendungsbereich	Prozentsatz der Projekte, die bei der Ausführung Änderungen der Umfange erfahren.	(Projekte mit Scope Changes ÷ Gesamtprojekte) × 100	Mittel	
Projektleitung Kennzahlen	Durchschnittliche Projektlaufzeit	Durchschnittliche Zeit, um ein Projekt von der Einleitung bis zum Abschluss zu vervollständigen.	Gesamtzeit für alle Projekte ÷ Anzahl der Projekte	Mittel	
Projektleitung Kennzahlen	Aufgabenabwicklungsrate	Prozentsatz der Aufgaben, die im Zusammenhang mit den Gesamtaufgaben eines Projekts abgeschlossen wurden.	(Vereinigte Aufgaben ÷ Gesamtaufgaben) × 100	Hoch	
Projektleitung Kennzahlen	Fahrplanvariante	Differenz zwischen dem geplanten Zeitplan und dem tatsächlichen Zeitplan.	(geplante Dauer - tatsächliche Dauer) ÷ Geplante Dauer × 100	Hoch	
Projektleitung Kennzahlen	Geplant vs. Tatsächlicher Fortschritt	Vergleich des geplanten Fortschrittsprozentsatzes mit dem tatsächlichen Fortschrittsprozentsatz zu einem bestimmten Zeitpunkt.	(Geplante Fortschritte) × 100	Mittel	Link
Projektleitung Kennzahlen	Projekt Erfolgsquote	Prozentsatz der Projekte, die erfolgreich durchgeführt werden, Umfang, Zeit und Budget.	(Erfolgreiche Projekte ÷ Gesamtprojekte) × 100	Hoch	
Projektleitung Kennzahlen	Ressourcennutzungsrate	Prozentsatz der Ressourcen, die während der Projektlieferung effektiv genutzt werden.	(Jährliche Ressourcenzeiten ÷ Verfügbare Ressourcenzeiten) × 100	Mittel	Link
Projektleitung Kennzahlen	Haushalts- und Kostenmanagement Kennzahlen				
Projektleitung Kennzahlen	Haushaltsvariante	Messt den Unterschied zwischen dem geplanten Budget und den tatsächlichen Projektkosten.	(Geplanter Haushalt - Tatsächliche Kosten) ÷ Geplanter Haushalt × 100	Hoch	Link
Projektleitung Kennzahlen	Kostenleistungsindex (CPI)	Gibt Kosteneffizienz und Finanzleistung an.	Gesteigerter Wert ÷ Tatsächliche Kosten	Hoch	Link
Projektleitung Kennzahlen	Gesteigerter Wert (EV)	Stellt den Wert der geleisteten Arbeit in Bezug auf den geplanten Zeitplan und die Kosten dar.	(Jährliche Fortschritte × Geplanter Haushalt)	Hoch	Link
Projektleitung Kennzahlen	Tatsächliche Kosten (AC)	Gesamtkosten für das Projekt bisher.	Summe aller tatsächlichen Projektkosten	Hoch	Link
Projektleitung Kennzahlen	Schätzung zum Abschluss (ETC)	Schätzung der Restkosten, die für die Projektabwicklung erforderlich sind.	(Geplanter Haushalt - EV)	Mittel	
